wohnquartier;bestand_in_nichtwohngebaeuden;bestand_in_wohngebaeuden_insgesamt;wohnflaeche_je_wohnung;bestand_in_wohngebaeuden_mit_bj_vor_1949;bestand_in_wohngebaeuden_mit_bj_1949_bis_1969;bestand_in_wohngebaeuden_mit_bj_1970_bis_1989;bestand_in_wohngebaeuden_mit_bj_nach_1990;bestand_in_ezfh_insgesamt;bestand_in_ezfh_mit_bj_vor_1949;bestand_in_ezfh_mit_bj_1949_bis_1969;bestand_in_ezfh_mit_bj_1970_bis_1989;bestand_in_ezfh_mit_bj_nach_1990;bestand_in_in_mfh_insgesamt;bestand_in_mfh_mit_bj_vor_1949;bestand_in_mfh_mit_bj_1949_bis_1969;bestand_in_mfh_mit_bj_1970_bis_1989;bestand_in_mfh_mit_bj_nach_1990;durchschnittlicher_bestand_je_wohngebaeude
11001;452;1485;67,06;258;563;401;263;70;31;26;6;7;1415;227;537;395;256;6,6
11002;;;;;;;;;;;;;;;;;;
12001;393;1407;79,42;454;472;342;139;56;37;5;7;7;1351;417;467;335;132;6,6
12002;;;;;;;;;;;;;;;;;;
13001;;;;;;;;;;;;;;;;;;
13002;430;1073;65,44;114;816;50;93;22;3;15;;;1051;111;801;48;91;8,3
13003;274;1678;61,71;92;1365;153;68;9;;7;;;1669;92;1358;151;68;10,1
13004;82;1171;60,21;89;940;115;27;3;;;;;1168;88;940;113;27;10,3
13005;230;1117;58,66;195;751;117;54;5;;;4;;1112;194;751;113;54;11,3
13006;258;1630;56,26;58;1381;144;47;4;;;3;;1626;58;1380;141;47;12,2
13007;131;1127;60,87;99;877;118;33;8;;6;;;1119;99;871;118;31;10,7
14001;;;;;;;;;;;;;;;;;;
14002;149;1154;78,34;340;441;183;190;14;10;;;3;1140;330;440;183;187;9,5
14003;115;1470;65,03;510;739;183;38;7;4;;;;1463;506;738;181;38;9,3
14004;167;1291;68,1;465;644;156;26;11;7;3;;;1280;458;641;155;26;8,8
14005;130;1397;64,59;258;617;491;31;;;;;;1395;256;617;491;31;11
14006;8;856;68,97;345;308;156;47;5;4;;;;851;341;308;156;46;9,1
14007;61;1582;65,88;209;1074;66;233;0;;;;;1582;209;1074;66;233;10,1
14008;54;1122;62,86;141;707;54;220;3;;3;;;1119;141;704;54;220;11,4
14009;68;1157;59,44;139;903;92;23;;;;;;1155;138;902;92;23;11,7
14010;88;1633;79,43;246;869;487;31;33;21;4;;7;1600;225;865;486;24;7,1
14011;52;1204;68,3;245;790;104;65;19;17;;;;1185;228;788;104;65;8,2
14012;45;1342;66,81;264;915;124;39;;;;;;1341;263;915;124;39;10,2
14013;67;1359;65,06;258;972;15;114;;;;;;1358;257;972;15;114;10,7
14014;79;1492;78,72;214;981;267;30;22;12;5;3;;1470;202;976;264;28;7,8
14015;44;1501;62,18;244;1021;135;101;3;;;;;1498;243;1020;135;100;11
14016;91;1800;87,02;10;95;;1694;;;;;;1798;10;95;;1693;13,6
15001;;;;;;;;;;;;;;;;;;
